epsilon1 epsilon2 fB
-0.818 3.020 0.10
-0.818 3.061 0.10
-0.818 3.101 0.10
-0.818 3.141 0.10
-0.818 3.182 0.10
-0.818 3.222 0.10
-0.818 3.263 0.10
-0.818 3.303 0.10
-0.818 3.343 0.10
-0.818 3.384 0.10
-0.818 3.424 0.10
-0.818 3.465 0.10
-0.818 3.505 0.10
-0.818 3.545 0.10
-0.818 3.586 0.10
-0.818 3.626 0.10
-0.818 3.667 0.10
-0.818 3.707 0.10
-0.818 3.747 0.10
-0.818 3.788 0.10
-0.818 3.828 0.10
-0.818 3.869 0.10
-0.818 3.909 0.10
-0.818 3.949 0.10
-0.818 3.990 0.10
-0.818 4.030 0.10
-0.818 4.071 0.10
-0.818 4.111 0.10
-0.818 4.152 0.10
-0.818 4.192 0.10
-0.818 4.232 0.10
-0.818 4.273 0.10
-0.818 4.313 0.10
-0.818 4.354 0.10
-0.818 4.394 0.10
-0.818 4.434 0.10
-0.818 4.475 0.10
-0.818 4.515 0.10
-0.818 4.556 0.10
-0.818 4.596 0.10
-0.818 4.636 0.10
-0.818 4.677 0.10
-0.818 4.717 0.10
-0.818 4.758 0.10
-0.818 4.798 0.10
-0.818 4.838 0.10
-0.818 4.879 0.10
-0.818 4.919 0.10
-0.818 4.960 0.10
-0.818 5.000 0.10
-0.809 1.000 0.10
-0.809 1.040 0.10
-0.809 1.081 0.10
-0.809 1.121 0.10
-0.809 1.162 0.10
-0.809 1.202 0.10
-0.809 1.242 0.10
-0.809 1.283 0.10
-0.809 1.323 0.10
-0.809 1.364 0.10
-0.809 1.404 0.10
-0.809 1.444 0.10
-0.809 1.485 0.10
-0.809 1.525 0.10
-0.809 1.566 0.10
-0.809 1.606 0.10
-0.809 1.646 0.10
-0.809 1.687 0.10
-0.809 1.727 0.10
-0.809 1.768 0.10
-0.809 1.808 0.10
-0.809 1.848 0.10
-0.809 1.889 0.10
-0.809 1.929 0.10
-0.809 1.970 0.10
-0.809 2.010 0.10
-0.809 2.051 0.10
-0.809 2.091 0.10
-0.809 2.131 0.10
-0.809 2.172 0.10
-0.809 2.212 0.10
-0.809 2.253 0.10
-0.809 2.293 0.10
-0.809 2.333 0.10
-0.809 2.374 0.10
-0.809 2.414 0.10
-0.809 2.455 0.10
-0.809 2.495 0.10
-0.809 2.535 0.10
-0.809 2.576 0.10
-0.809 2.616 0.10
-0.809 2.657 0.10
-0.809 2.697 0.10
-0.809 2.737 0.10
-0.809 2.778 0.10
-0.809 2.818 0.10
-0.809 2.859 0.10
-0.809 2.899 0.10
-0.809 2.939 0.10
-0.809 2.980 0.10
-0.809 3.020 0.10
-0.809 3.061 0.10
-0.809 3.101 0.10
-0.809 3.141 0.10
-0.809 3.182 0.10
-0.809 3.222 0.10
-0.809 3.263 0.10
-0.809 3.303 0.10
-0.809 3.343 0.10
-0.809 3.384 0.10
-0.809 3.424 0.10
-0.809 3.465 0.10
-0.809 3.505 0.10
-0.809 3.545 0.10
-0.809 3.586 0.10
-0.809 3.626 0.10
-0.809 3.667 0.10
-0.809 3.707 0.10
